City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
231,Helena,US,46.5927,-112.0361,34.25,64,0,5.01,clear sky
232,Baruun-Urt,MN,46.6806,113.2792,5.45,71,2,5.21,clear sky
233,Ukiah,US,39.1502,-123.2078,51.39,67,0,0.0,clear sky
234,Coihaique,CL,-45.5752,-72.0662,63.21,51,0,0.0,clear sky
235,Umea,SE,63.8284,20.2597,30.13,93,40,10.36,scattered clouds
236,Fortuna,US,40.5982,-124.1573,45.52,87,0,8.05,clear sky
237,Tibiri,NE,13.5627,7.0485,52.14,35,0,9.22,clear sky
238,Ribeira Grande,PT,38.5167,-28.7,58.41,62,32,11.81,scattered clouds
239,Kaitangata,NZ,-46.2817,169.8464,64.92,72,100,6.08,overcast clouds
240,Tapes,BR,-30.6733,-51.3958,67.37,71,34,7.67,scattered clouds
241,Togur,RU,58.3631,82.8265,3.25,94,95,5.3,overcast clouds
242,Seydisehir,TR,37.4193,31.8453,14.16,82,19,2.66,few clouds
243,Micheweni,TZ,-4.9667,39.8333,82.09,71,62,6.46,broken clouds
244,Avarua,CK,-21.2078,-159.775,80.65,78,21,6.91,few clouds
245,Launceston,AU,-41.45,147.1667,79.61,51,40,8.01,scattered clouds
246,Cayenne,GF,4.9333,-52.3333,74.08,91,0,0.0,clear sky
247,Dalnerechensk,RU,45.9339,133.7225,6.39,76,100,12.93,overcast clouds
248,Lavrentiya,RU,65.5833,-171.0,-6.83,91,29,4.14,scattered clouds
249,Kahului,US,20.8947,-156.47,75.22,73,0,9.22,clear sky
250,Katherine,AU,-14.4667,132.2667,88.12,62,98,21.85,overcast clouds
251,Ondarroa,ES,43.3167,-2.4167,41.92,89,24,4.09,few clouds
252,Cloquet,US,46.7216,-92.4594,4.59,84,99,0.0,overcast clouds
253,Gornopravdinsk,RU,60.05,69.9,0.99,96,97,4.43,overcast clouds
254,Codrington,AU,-38.2667,141.9667,66.85,68,100,15.48,overcast clouds
255,Floro,NO,61.5996,5.0328,44.56,100,100,12.66,moderate rain
256,Beira,MZ,-19.8436,34.8389,78.89,94,40,5.75,scattered clouds
257,San Lazaro,BZ,18.0387,-88.6622,69.21,94,70,8.68,broken clouds
258,Liberty,US,31.8335,-81.5004,43.05,43,0,5.99,clear sky
259,Saint George,US,37.1041,-113.5841,45.36,31,0,1.01,clear sky
260,Kismayo,SO,-0.3582,42.5454,79.39,73,96,17.45,overcast clouds
261,Russkaya Polyana,UA,49.417,31.9201,29.62,91,100,16.2,overcast clouds
262,Hami,CN,42.8,93.45,27.41,39,2,3.91,clear sky
263,Kargalinskaya,RU,43.7417,46.4792,35.01,74,4,9.04,clear sky
264,Tottori,JP,35.5,134.2333,46.47,61,75,12.66,broken clouds
265,Lorengau,PG,-2.0226,147.2712,82.02,76,100,3.83,overcast clouds
266,Bowling Green,US,36.9903,-86.4436,23.52,63,40,11.68,scattered clouds
267,Tucumcari,US,35.1717,-103.725,30.04,47,0,6.91,clear sky
268,Tuatapere,NZ,-46.1333,167.6833,67.82,55,100,4.65,overcast clouds
269,Sinnamary,GF,5.3833,-52.95,74.95,86,29,6.35,scattered clouds
270,Verkhovazhye,RU,60.7472,42.0465,14.4,94,100,6.55,overcast clouds
271,Tamasane,BW,-22.4184,27.4013,69.13,88,100,8.41,moderate rain
272,Shingu,JP,33.7333,135.9833,50.99,37,90,9.08,overcast clouds
273,Tabanan,ID,-8.5413,115.1252,86.4,74,100,3.62,overcast clouds
